	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
18	9.597916	2.607300	6.004690	3.072511	-5.041448	8.322987	1.941928	-6.178601	8.856076	3.340279	0.347383	-9.938933	2.849303	-3.387294	20.038511	2.183308	3.297302	178.643555	0.464121	185.782257	0.464121	0.464121	0.202698	-0.322109	-0.057773
19	9.150615	2.394695	4.951387	3.081481	-4.131147	7.434634	0.782590	-5.562227	8.380013	3.321787	-0.175062	-9.135551	1.891359	-3.414192	21.953003	2.652508	7.145839	183.470673	0.464121	179.429291	0.464121	0.464121	0.203105	-0.235342	-1.105550
20	8.388639	0.516474	4.403824	2.918857	-3.554343	6.626158	0.113005	-4.615945	8.379880	1.721773	-1.423565	-8.323738	2.454981	-3.173881	23.109467	3.450781	10.967372	189.731705	0.464121	174.165573	0.464121	0.464121	0.335961	-0.098683	-0.234224
21	7.883155	-1.528429	4.371737	2.409053	-3.522257	6.067786	-0.210836	-3.887643	8.730591	-0.189166	-2.661256	-8.217524	3.613338	-3.402324	23.113619	4.201665	13.817345	196.208969	0.464121	168.296509	0.464121	0.464121	-0.017989	-0.188451	0.819991
22	7.917348	-2.275083	4.845398	1.499240	-3.856970	6.010989	-0.133147	-3.407329	9.061489	-1.223368	-3.138766	-8.602210	4.173697	-4.533617	22.422520	4.395485	16.197319	204.067810	0.464121	160.625595	0.464121	0.464121	0.159429	-0.189462	-0.054230
23	8.354232	-1.283344	5.801826	0.176987	-4.060967	6.680216	0.475670	-3.052401	9.043336	-0.922615	-2.711895	-8.825217	3.711848	-6.047229	21.268642	4.741204	18.056990	214.362610	0.464121	153.140869	0.464121	0.464121	0.379576	-0.320806	0.817170
24	8.879908	0.672469	7.082618	-1.585070	-3.945490	7.848755	1.306538	-2.871133	8.699960	0.267892	-1.993590	-8.716770	2.629788	-7.087636	20.123487	5.667448	18.160839	225.171707	0.464121	146.418106	0.464121	0.464121	0.158637	-0.011844	0.295850
25	9.305850	2.392679	8.478924	-3.502620	-3.793375	8.886954	1.741736	-2.969445	8.543557	1.363091	-1.608507	-8.634863	1.697991	-7.248893	19.740046	6.569346	16.241110	235.223938	0.464121	139.695328	0.464121	0.464121	0.069710	-0.055885	0.119683
26	9.587024	3.216037	9.782673	-5.094206	-3.537294	9.452706	1.706940	-3.433791	8.916637	1.756874	-1.425749	-8.968926	1.408840	-6.644301	20.129448	7.236269	13.198284	244.971817	0.464121	132.869904	0.464121	0.464121	0.423651	-0.232813	-0.233764
27	9.639519	3.073873	10.611916	-5.990963	-2.822401	9.631104	1.769983	-4.120511	9.563284	1.642516	-1.148710	-9.592757	1.674457	-5.832614	20.703802	7.289470	9.760550	255.536148	0.464121	125.604103	0.464121	0.464121	0.380295	-0.322601	-0.231292
