	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
9492	11.089111	-9.481970	-2.335518	3.530956	-5.281894	-1.492078	2.797343	-5.860468	12.825056	10.933048	-1.366805	-11.260910	-7.390942	0.231479	-17.712719	20.932001	-4.854844	0.464121	0.464121	0.464121	0.464121	0.464121	0.422633	-0.054510	0.467254
9493	11.494466	-9.529915	-2.350676	5.515726	-3.736798	-1.277503	3.500742	-3.885333	13.867215	11.696815	-3.018892	-11.938595	-8.205961	1.289451	-21.427935	23.530445	-0.971427	0.464121	0.464121	0.473569	0.464121	0.464121	0.246962	-0.099589	1.522196
9494	11.654626	-9.801593	-1.979612	6.393377	-1.847095	-0.791246	4.126143	-3.682775	14.405835	12.618876	-4.191468	-11.650681	-7.822721	2.457968	-24.094990	23.960928	3.454915	0.464121	0.464121	1.000122	0.464121	0.464121	0.335821	-0.233473	-0.407408
9495	11.487180	-10.098300	-1.154306	6.274765	-0.650348	-0.171741	4.600033	-4.474148	14.078548	12.840540	-4.711968	-10.972603	-6.733777	2.860371	-24.504438	22.347908	6.936790	0.464121	0.464121	1.436550	0.464121	0.464121	0.425333	-0.277517	-0.407343
9496	10.488159	-10.013968	-0.296174	5.682894	-0.425145	0.175250	5.045930	-4.699833	13.011304	12.143948	-4.775487	-10.475064	-5.488462	2.718748	-21.952061	18.742231	9.113595	0.464121	0.464121	1.436550	0.464121	0.464121	0.513029	-0.321996	0.118207
9497	8.768363	-9.184620	0.164429	4.934829	-0.988333	-0.094610	6.104509	-3.794842	11.826440	10.892595	-4.677620	-10.081525	-4.424271	2.564914	-17.063671	14.469704	9.815667	0.464121	0.464121	1.445110	0.464121	0.464121	0.291384	-0.143093	1.169588
9498	7.105924	-7.372587	0.417015	3.924471	-2.897437	-0.756868	7.863628	-2.223835	10.798275	9.651199	-4.480164	-9.554805	-3.611711	2.424629	-11.283077	11.128942	9.039747	0.464121	0.464121	1.933661	0.464121	0.464121	0.380661	-0.055279	-0.406730
9499	6.306120	-4.591396	0.614403	3.143365	-4.661410	-1.357705	9.804823	-1.185353	10.101600	8.820135	-4.149046	-9.029693	-3.184901	2.074939	-5.884255	8.889248	6.616481	0.464121	0.464121	2.942744	0.464121	0.464121	0.425114	-0.144076	-0.231799
9500	6.478482	-1.602817	0.939131	2.924114	-5.396021	-1.588296	11.139391	-1.871836	10.109729	8.844713	-3.873090	-8.736259	-3.330035	1.587260	-2.127327	7.209335	3.081642	0.464121	0.464121	6.905896	0.464121	0.464121	0.291324	-0.143744	-0.057704
9501	7.305773	0.771061	1.263179	2.824558	-5.852190	-0.842928	11.263267	-3.807019	10.742657	9.704843	-3.545396	-8.783926	-3.624124	1.155882	-0.212449	6.071181	-0.296668	0.464121	0.464121	25.901115	0.464121	0.464121	0.201364	-0.144193	0.468174
9502	9.059772	2.485731	1.604580	2.523990	-5.320803	1.081593	10.138501	-5.199228	11.510632	10.629107	-3.029002	-9.126630	-3.414664	0.765116	1.256544	5.490226	-3.117778	0.464121	0.464121	60.455421	0.464121	0.464121	0.247187	-0.408500	1.341627
9503	11.826841	3.308057	2.515043	1.768983	-3.862906	3.966866	8.062831	-6.337997	12.359556	10.743274	-2.546973	-9.436022	-2.383521	0.335064	3.462898	4.782934	-6.068041	0.464121	0.464121	80.395866	0.464121	0.464121	0.335388	0.033579	0.294690
9504	15.242700	3.329516	4.741031	0.508798	-2.433601	8.414454	5.540888	-8.572396	13.786907	9.433971	-2.388128	-9.734102	-0.535796	-0.428711	6.409343	3.651946	-9.582463	0.464121	0.464121	84.164474	0.464121	0.464121	0.247174	-0.144672	-0.406924
9505	18.367687	3.241337	9.089288	-1.193094	-1.921778	14.534373	2.828190	-10.667256	16.063057	6.546390	-2.460948	-10.573039	1.940655	-1.982043	10.264059	1.874326	-12.821587	0.464121	0.464121	109.630119	0.464121	0.464121	0.423623	-0.186528	1.341856
9506	19.914221	3.363289	14.959781	-3.088156	-1.862289	19.105755	0.404335	-10.712712	18.526018	2.522777	-2.622812	-12.364357	4.663842	-4.655080	16.026182	-2.312019	-14.212158	0.464121	0.464121	148.780182	0.464121	0.464121	0.468681	-0.100395	0.647032
9507	19.747839	4.219474	19.184052	-5.372547	-0.639671	20.027676	-0.515470	-9.324707	19.920170	-1.784670	-2.659455	-14.835080	7.385780	-8.473797	26.863913	-11.110886	-13.913174	0.464121	0.464121	163.964172	0.464121	0.464121	0.116502	0.032550	-0.228078
9508	18.155378	6.435264	20.010468	-8.831085	1.053881	20.147764	-0.047560	-7.139229	19.441477	-5.962363	-1.777542	-16.266977	10.589431	-13.064696	48.417942	-27.682421	-9.631401	0.464121	0.464121	153.574158	0.464121	0.464121	0.159245	-0.276232	-0.234873
9509	15.580400	9.582294	20.122587	-11.471592	0.312697	20.162092	-0.428186	-2.698934	16.682487	-8.890965	0.163010	-13.930861	14.590345	-17.453762	77.377762	-46.856888	-0.430464	0.464121	0.464121	139.387115	0.464121	0.464121	0.513650	-0.010319	-0.056303
9510	13.650704	12.795314	20.147747	-10.058944	-2.766443	20.187019	-1.596138	2.260583	12.354111	-8.476537	1.302594	-7.033968	18.204643	-19.778166	90.913910	-41.887093	18.155449	0.464121	0.464121	128.123520	0.464121	0.464121	0.378843	-0.366136	-0.410306
9511	12.036832	14.993383	20.160906	-6.716609	-3.756730	20.187019	-1.373869	3.536788	8.618170	-5.666255	0.001646	0.901102	19.864952	-20.134125	86.188385	-13.141103	53.323315	0.464121	0.464121	115.292412	0.464121	0.464121	0.159067	-0.188384	0.293659
9512	9.801635	15.448654	20.174097	-4.468157	-3.217844	20.187019	0.687341	0.924763	5.915649	-3.624198	-2.177560	5.795692	19.497740	-20.095953	85.938492	-7.993554	61.650410	0.464121	0.464121	101.179398	0.464121	0.464121	0.379885	0.165323	0.298293
9513	7.536037	15.329496	20.159964	-2.280580	-3.277859	20.187019	4.559746	-2.231443	3.800862	-4.429718	-2.058795	7.474091	17.193148	-18.497915	80.439301	-20.843832	42.539627	0.464121	0.464121	84.577789	0.464121	0.464121	0.158162	-0.055183	0.468912
9514	5.685530	15.936172	20.175041	-1.076228	-4.408609	20.187019	9.967233	-3.723059	1.941958	-7.391004	-0.995365	8.063242	14.171875	-15.451192	80.732903	-26.448692	24.847870	0.464121	0.464121	65.958893	0.464121	0.464121	0.379813	-0.188184	-0.233464
9515	4.222689	17.104610	20.159021	-1.977068	-5.945667	20.187019	13.537471	-2.586075	1.114371	-9.885483	-0.937535	8.654377	12.206531	-16.490181	80.710266	-15.045275	14.004216	0.464121	0.464121	48.123718	0.464121	0.464121	0.421286	-0.275804	-0.062855
9516	3.203969	18.149080	20.175985	-3.581940	-6.534297	20.187019	13.178978	-0.738522	1.280192	-10.188025	-1.342181	9.556720	10.677757	-18.377975	68.606079	0.734971	7.943510	0.464121	0.464121	30.597979	0.464121	0.464121	0.291458	-0.098935	-0.409382
9517	2.329869	18.727226	20.158079	-4.352651	-6.413869	20.187019	10.187935	-1.541363	1.388757	-8.808251	-1.734415	10.686811	10.037586	-17.798309	56.130516	5.994164	6.055216	0.464121	0.464121	18.753794	0.464121	0.464121	0.424527	-0.276041	-0.410640
9518	1.502639	18.748590	20.176928	-4.165394	-6.208218	20.187019	7.119006	-2.598837	1.231376	-7.798191	-1.508800	11.362727	9.804480	-16.039591	56.906788	3.619725	6.474202	0.464121	0.464121	12.079676	0.464121	0.464121	0.512525	-0.497769	-0.413491
9519	0.214483	18.306580	20.157135	-3.300491	-5.951778	20.187019	4.827718	-2.752658	0.999358	-8.176670	-0.643796	11.068204	9.631164	-14.675845	64.804474	-1.125572	9.558076	0.464121	0.464121	8.249599	0.464121	0.464121	0.558433	0.033565	0.471712
9520	-1.449547	17.427393	20.176987	-2.484789	-5.131657	20.187019	3.186141	-1.979267	1.004074	-8.979793	0.066506	9.922340	9.420062	-13.304974	66.475670	-4.721410	17.476212	0.464121	0.464121	5.090197	0.464121	0.464121	0.335242	-0.366482	0.643919
9521	-3.050437	15.958740	20.090090	-2.512804	-3.869239	20.181042	1.602975	-0.926906	1.456031	-9.174535	0.104570	8.506392	9.697783	-12.307455	60.532936	-5.732954	25.005396	0.464121	0.464121	3.916414	0.464121	0.464121	0.513289	-0.320957	-0.234622
9522	-3.832837	14.481369	19.139112	-3.465761	-2.967910	19.819597	-0.181863	-0.137345	2.127498	-8.606031	-0.111043	7.254529	10.100148	-11.330747	51.224026	-8.318124	29.589962	0.464121	0.464121	2.200593	0.464121	0.464121	0.291732	-0.011555	0.296280
9523	-3.365095	13.311491	15.508167	-4.928373	-2.751130	17.937771	-1.840995	0.736799	2.822679	-7.645734	-0.156892	6.263184	10.301085	-10.276515	43.392788	-13.602724	31.520433	0.464121	0.464121	1.243201	0.464121	0.464121	0.246617	-0.320465	0.289929
9524	-2.495233	12.177728	12.598975	-5.640590	-3.120702	15.240356	-2.978697	1.821081	3.530372	-6.571460	0.255706	5.193769	9.986307	-9.461213	36.130333	-18.142534	31.693449	0.464121	0.464121	0.464121	0.464121	0.464121	0.334926	0.033856	0.820296
9525	-1.924075	11.193851	11.094254	-5.211587	-3.654607	12.635052	-3.334218	2.825585	4.441624	-5.477555	0.783153	3.988033	9.342947	-8.308555	32.135220	-17.940823	28.854206	0.464121	0.464121	0.464121	0.464121	0.464121	0.291421	-0.277554	-0.057440
9526	-1.436570	10.083464	10.443013	-3.756465	-3.719735	10.723167	-2.971044	3.561263	5.422550	-4.787395	1.381106	2.519985	8.751600	-7.028023	32.257797	-16.571865	22.884237	0.464121	0.464121	0.464121	0.464121	0.464121	0.380261	-0.275003	0.464448
9527	-1.076475	8.489635	10.040290	-1.620681	-3.482471	9.497241	-2.589438	4.080234	6.382405	-4.352560	1.807118	1.683828	7.914753	-5.585046	33.006222	-13.729868	14.934537	0.464121	0.464121	0.466313	0.464121	0.464121	0.646322	0.033553	-0.230282
9528	-0.908452	6.924444	9.527904	0.636738	-2.970894	8.828365	-2.482874	4.660190	6.968495	-3.901023	1.958730	1.871340	6.996077	-4.179079	33.855576	-9.517973	6.611632	0.464121	0.464121	0.598319	0.464121	0.464121	0.159661	-0.188221	-0.232743
9529	-0.898235	5.383142	8.707143	2.565856	-2.201218	8.115490	-2.419186	5.216565	7.026057	-3.570019	1.846643	2.186039	6.262777	-2.978733	35.256123	-4.615367	0.123711	0.464121	0.464121	1.436550	0.464121	0.464121	0.380840	-0.010783	0.470553
9530	-0.801564	4.447947	7.569614	4.015626	-1.544014	7.294055	-2.194120	5.854783	6.680106	-3.392031	1.769127	1.928720	6.209876	-1.569420	36.118565	0.697433	-5.020949	0.464121	0.464121	1.436550	0.464121	0.464121	0.202424	-0.188216	-0.408682
9531	-0.524059	5.443118	6.070808	4.904721	-1.247609	6.114774	-2.043070	6.627608	6.412337	-3.300366	1.724463	1.220381	6.954516	-0.111714	37.189728	6.669101	-11.925597	0.464121	0.464121	1.436550	0.464121	0.464121	0.291307	-0.189716	-0.581722
9532	0.100525	7.672249	4.421716	5.706498	-1.073551	4.529735	-1.989699	7.647897	6.550610	-2.715211	2.041336	0.851264	7.692096	1.367052	31.750534	12.504352	-14.521737	0.464121	0.464121	1.435361	0.464121	0.464121	0.159398	-0.189431	-0.230923
9533	0.336993	10.265403	2.675231	6.333669	-0.698048	3.119214	-2.592703	8.259385	6.907456	-1.728474	3.102826	1.096096	7.973492	1.568201	31.466299	16.752739	-23.854794	0.464121	0.464121	1.362444	0.464121	0.464121	0.247364	-0.100516	-0.230703
9534	0.566362	11.597970	1.049631	6.987334	-0.034649	2.083761	-3.377963	7.819632	7.311143	-0.654752	2.899375	1.394194	7.875160	0.971343	28.169973	18.294888	-24.786125	0.464121	0.464121	0.527377	0.464121	0.464121	0.468211	-0.276470	-0.234978
9535	0.163922	11.307331	-0.377336	7.536208	0.636889	0.721878	-3.640500	7.796786	7.358943	-0.472128	3.127207	0.390479	7.497723	1.309571	30.896341	20.519308	-33.358780	0.464121	0.464121	1.436550	0.464121	0.464121	0.202510	-0.188808	-0.583779
9536	-0.445558	9.997499	-1.508875	8.824914	1.451404	-1.263000	-3.040719	8.037918	7.584559	-1.942656	3.242637	-0.407902	7.357585	1.397200	28.925251	22.658722	-34.590866	0.464121	0.464121	1.436550	0.464121	0.464121	0.379063	-0.189757	-0.406846
9537	-0.692810	8.170701	-2.645938	10.122421	2.152321	-3.126717	-3.034356	7.532939	8.529805	-4.970354	3.319574	-0.710089	7.586146	0.769233	24.645861	31.029249	-21.378622	0.464121	0.464121	1.436550	0.464121	0.464121	0.424093	-0.189704	-0.054838
9538	-0.060252	6.590855	-3.971838	10.440297	2.795148	-4.679045	-4.140853	7.103126	9.770006	-8.788156	3.360506	-0.681933	7.630273	-1.312021	27.045401	31.953701	-28.631351	0.464121	0.464121	1.436550	0.464121	0.464121	0.556765	-0.365741	-0.234692
9539	1.071245	6.226234	-5.263875	11.101034	2.218195	-5.726760	-6.098099	6.629810	10.496641	-12.248547	3.524240	-1.308762	7.996758	-4.202485	16.633829	21.193211	-45.188499	0.464121	0.464121	1.436550	0.464121	0.464121	0.202975	-0.277593	-0.583845
9540	2.195152	7.387591	-6.833739	11.565470	2.147773	-6.422034	-8.447470	5.858366	10.333360	-14.975554	4.149031	-2.062613	9.260809	-7.281709	8.755169	14.277729	-46.847412	0.464121	0.464121	1.421057	0.464121	0.464121	0.467649	-0.142673	0.817104
9541	2.864981	9.170732	-9.143751	9.358209	2.886508	-6.447376	-11.567800	5.391183	9.074876	-16.885784	5.156353	-1.353749	9.805402	-10.320998	0.526553	-1.337731	-25.155197	0.464121	0.464121	0.514832	0.464121	0.464121	0.291946	-0.410287	-0.760389
9542	3.231919	11.197648	-10.769524	6.332748	2.462270	-6.949938	-13.482821	5.412369	7.875350	-17.462809	6.322295	-0.332629	9.155900	-13.056285	-9.231001	-26.075317	-9.433687	0.464121	0.464121	1.374258	0.464121	0.464121	0.027114	-0.102017	-0.051807
9543	3.851218	13.615307	-12.311948	2.601091	4.172573	-8.295329	-12.773026	3.251217	7.458162	-16.817074	7.560974	-0.573718	8.874352	-15.313936	-25.097664	-33.263454	15.075879	0.464121	0.464121	0.523170	0.464121	0.464121	0.112953	-0.276587	-0.060536
9544	4.992274	14.873022	-14.804141	-2.325792	9.865438	-8.748203	-10.451797	0.188665	7.894986	-15.835527	8.431419	-2.885149	9.352953	-15.816017	-27.327230	-12.533007	37.866570	0.464121	0.464121	0.464121	0.464121	0.464121	0.645996	-0.054057	-0.584914
9545	6.431006	14.347319	-14.017872	-3.467253	12.497470	-6.953001	-7.995431	-2.581873	9.678839	-15.682773	8.559401	-6.822250	8.824780	-13.825104	-17.720715	16.878765	32.216755	0.464121	0.464121	0.464121	0.464121	0.464121	0.690842	0.433696	-0.053270
9546	8.775704	13.653589	-8.453060	-0.487777	9.598776	-3.798514	-5.453987	-5.961174	12.435531	-17.422796	8.168112	-13.035483	6.633224	-11.747328	-5.396188	31.450947	18.674965	0.464121	0.464121	0.464121	0.464121	0.464121	0.601707	-0.186758	1.344262
9547	9.619442	13.247993	-3.093684	2.259360	5.720401	-1.059055	-2.159858	-9.778148	14.809344	-19.485462	7.383741	-18.424488	4.191833	-11.839112	-3.561172	25.649563	10.492177	0.464121	0.464121	0.464121	0.464121	0.464121	-0.018645	-0.544425	-0.585362
9548	8.399929	11.666206	1.220238	4.310670	2.305858	1.012960	2.385298	-13.400639	16.064604	-20.041004	6.347269	-19.829811	2.062899	-13.223508	-8.100240	14.536896	-0.172168	0.464121	0.464121	0.464121	0.464121	0.464121	0.114262	-0.143319	0.117162
9549	6.129562	8.957694	4.137631	5.288338	-0.710140	3.290884	7.685424	-15.071015	14.470067	-18.917843	4.736956	-17.512541	0.996336	-14.499055	-11.668998	5.941288	-3.752104	0.464121	0.464121	0.464121	0.464121	0.464121	0.114421	-0.321098	0.291569
9550	3.423055	6.159533	5.035379	4.913155	-3.836992	6.459705	13.193732	-16.035788	10.838887	-17.137945	2.476513	-14.291766	0.928335	-13.260712	-13.727448	-0.262867	-0.846046	0.464121	0.464121	0.464121	0.464121	0.464121	0.291107	-0.098609	0.641934
9551	1.328202	4.371583	4.642508	3.172484	-6.562283	9.104702	18.020325	-18.852821	7.358237	-16.469213	-0.420246	-12.303046	2.531903	-9.880045	-14.916893	-1.735061	4.776702	0.464121	0.464121	0.464121	0.464121	0.464121	-0.018486	-0.142842	1.344571
9552	-0.030967	4.164117	4.962485	-0.635454	-9.077721	9.224814	19.755522	-19.726456	5.256124	-18.404083	-2.756306	-10.370840	6.498324	-7.100217	-13.477448	0.416511	9.400406	0.464121	0.464121	0.464121	0.464121	0.464121	0.025592	-0.055841	0.294322
9553	-0.809494	3.572639	8.690559	-6.445836	-13.160501	7.115884	18.394842	-16.317318	2.688604	-19.804798	-0.225187	-7.675665	10.967064	-5.072097	-8.513085	7.663673	7.972136	0.464121	0.464121	0.464121	0.464121	0.464121	0.025427	-0.321962	0.117217
9554	-2.295614	3.424159	15.141733	-10.239014	-18.025253	5.378744	17.348829	-13.628531	2.442621	-19.963263	4.450350	-6.671544	13.552330	-5.397549	-2.617753	15.484188	3.256747	0.464121	0.464121	0.464121	0.464121	0.464121	-0.018602	-0.234155	0.821424
9555	-1.833779	6.457694	19.018476	-10.165505	-19.819000	3.596209	16.853071	-13.444180	1.554173	-19.817966	8.568023	-4.588402	13.819335	-7.224077	2.717050	17.867796	-0.165875	0.464121	0.464121	0.464121	0.464121	0.464121	0.246347	-0.189129	-0.407727
9556	-1.734167	8.916376	19.993490	-8.983569	-20.152477	1.601151	13.748650	-12.042425	3.040235	-19.328581	11.075656	-3.926678	13.253428	-7.675298	5.543197	15.410537	-2.819088	0.464121	0.464121	0.464121	0.464121	0.464121	0.423806	-0.188025	0.292542
9557	-1.210500	10.603510	18.828831	-9.186342	-20.187019	-0.862998	7.680202	-10.020141	4.495542	-15.506590	8.650784	-4.607903	12.538814	-6.525352	5.442808	10.032522	-3.092188	0.464121	0.464121	0.464121	0.464121	0.464121	0.335018	-0.056848	0.296796
9558	0.129417	12.410272	12.920038	-11.555904	-20.106655	-3.976098	0.774957	-6.254231	3.510545	-14.236875	-0.377585	-5.254763	10.632698	-6.642082	3.823274	5.202840	-1.898270	0.561811	0.464121	0.464121	0.464121	0.464121	0.202234	-0.144215	-0.233189
9559	0.479287	11.162895	6.192685	-8.612955	-15.144618	-7.207806	-6.959673	4.965921	7.094589	-18.056093	-13.250160	-6.460711	9.721745	-10.397807	1.139771	0.639420	-2.587815	6.522590	0.464121	0.464121	0.464121	0.464121	0.247522	0.032187	0.122252
9560	0.270584	5.926913	-0.435012	0.541803	2.721293	-9.334021	-11.084827	9.249653	15.451795	-19.919022	2.421584	-13.695318	13.170738	-16.991402	-0.121488	-8.789934	0.200794	23.864092	0.464121	0.464121	0.464121	0.464121	0.245734	-0.764663	-0.590451
9561	5.366755	-2.015961	-9.565098	13.602251	15.848893	-1.914931	-2.915565	-7.106012	19.383810	-19.821188	15.859165	-18.679886	18.013083	-19.542063	3.179411	-17.667753	11.787745	26.026873	0.464121	0.464121	0.464121	0.464121	0.203848	-0.408036	-0.238035
9562	15.115381	-1.714205	-13.032649	19.088924	19.572111	7.466228	3.534832	-6.645344	20.078470	0.094196	-2.196096	-19.924503	19.413950	-8.692038	21.489708	-17.029755	17.337229	18.825911	0.464121	0.464121	0.464121	0.464121	0.290942	-0.232676	0.116821
9563	19.405331	10.799661	-8.292042	14.569417	19.714634	15.861834	5.517552	10.509913	19.986254	15.449168	-9.735056	-17.137377	-0.587569	10.098508	55.008942	3.159961	9.267590	31.195364	0.464121	0.464121	0.464121	0.464121	0.248035	-0.098741	0.468519
9564	18.246447	18.416483	5.652838	2.636159	-0.380287	19.465986	2.849234	9.581271	10.388917	15.677108	8.256180	1.614913	-15.365704	4.114604	91.982079	22.501719	-5.343011	53.422234	0.464121	0.475173	0.464121	0.464121	0.379495	0.033646	0.820618
9565	8.704589	19.168282	16.384262	10.788060	-15.378008	20.058502	-10.665399	10.269393	-7.822157	-5.670915	18.609671	15.497521	2.171510	-10.541150	100.767891	14.903386	-4.176050	62.694134	0.464121	1.117833	0.464121	0.464121	0.290831	-0.320390	0.991775
9566	-2.829339	19.649147	19.642117	1.732987	2.283530	18.627188	-13.642072	14.000245	-1.749381	-14.484080	18.584011	8.412931	16.700010	3.457437	76.158241	16.830416	-12.617231	62.324322	0.464121	1.436550	0.464121	0.464121	0.202163	-0.276368	0.466109
9567	-8.334318	19.550724	20.085798	-14.156230	10.333543	12.816416	-6.498787	14.511193	7.447177	-1.944162	6.371892	-4.903593	16.393860	6.880839	53.285038	22.501907	-26.266682	57.839504	0.464121	1.436550	0.464121	0.464121	0.205777	0.297347	-0.222458
9568	-5.440247	5.370859	19.801306	-17.921177	14.192590	6.321222	-5.591887	15.729199	8.709605	-0.993984	2.526549	-8.311971	12.119577	-5.102731	49.663021	1.404048	-25.083134	49.592873	0.464121	1.436550	0.464121	0.464121	0.202185	-0.099043	0.116064
9569	3.550780	-1.591642	19.897806	-8.172564	15.077705	0.006775	-3.856849	10.150456	10.961860	-8.514906	4.627012	-3.524061	11.780544	-14.489620	51.195446	-28.046280	-21.430687	39.372723	0.464121	1.436550	0.464121	0.464121	0.291028	0.034377	1.171042
9570	12.377069	10.083159	19.093750	4.561387	0.886738	-2.236259	1.696885	9.223217	14.246046	-9.707216	1.689550	-4.064189	16.497177	-11.713634	46.883739	-44.158848	-19.716667	28.204067	0.464121	1.436550	0.464121	0.464121	0.203152	-0.099679	0.294307
9571	15.827045	16.742947	17.081955	9.482244	-11.080811	4.542156	5.325993	9.756464	14.733975	-9.708434	0.478266	-7.776802	16.337158	-12.816458	36.290318	-45.831974	-15.021982	16.173937	0.464121	1.436550	0.464121	0.464121	0.468947	-0.279097	-1.633035
9572	14.441665	13.430879	14.303716	2.344545	-10.346914	14.611716	7.559360	9.478716	13.214853	-8.498858	2.673404	-9.101875	8.544343	-17.619287	30.656847	-36.496113	-10.890398	8.275270	0.464121	1.436550	0.464121	0.464121	0.246553	-0.101066	-0.405701
9573	13.331381	15.423256	12.216058	-3.821632	-3.893578	19.403906	7.054362	8.984624	11.076712	-6.586248	1.519930	-7.240281	6.421017	-17.203236	36.236347	-24.199947	-8.066321	4.600839	0.464121	1.436550	0.464121	0.464121	0.467831	-0.055683	0.119275
9574	13.741717	19.044725	11.223569	-3.203754	2.663529	20.078518	2.704120	6.733101	10.477152	-7.944496	0.464853	-4.641618	9.605659	-16.729801	47.379578	-16.074211	-5.486258	2.276242	0.464121	1.436550	0.464121	0.464121	0.025072	-0.367328	-0.583514
9575	13.685915	15.117730	12.960392	-0.252280	6.245931	20.147894	-2.697148	4.991874	11.689178	-10.127872	1.665723	-5.507308	8.810316	-18.245417	59.101555	-12.918862	-2.200653	0.900518	0.464121	1.436550	0.464121	0.464121	0.203378	-0.012157	-0.580001
9576	15.154024	12.918715	17.179407	0.947132	4.641037	20.168814	-7.175189	3.853345	13.254601	-10.919436	2.390814	-8.604153	11.734450	-16.791155	69.640121	-8.721452	2.113863	0.464121	0.464121	1.436550	0.464121	0.464121	-0.016918	-0.146844	-0.226676
9577	17.367792	11.415685	19.732914	-1.000493	-1.186402	20.187019	-10.560324	2.810842	14.912704	-11.274408	2.989323	-10.507523	17.538099	-15.537370	78.321907	-0.835658	6.808881	0.464121	0.464121	1.436550	0.464121	0.464121	-0.017873	-0.588855	-0.936024
9578	18.512905	7.040552	20.109205	-4.123614	-5.678069	20.187019	-12.518426	1.846940	16.390110	-11.698521	3.560588	-11.759819	18.351677	-15.796492	84.336357	6.340759	12.456271	0.464121	0.464121	1.436550	0.464121	0.464121	0.467450	-0.233103	-0.057685
9579	19.500107	6.598663	20.147881	-7.021651	-5.490417	20.187019	-11.851809	0.595508	17.873144	-10.713857	3.733700	-13.765182	17.868364	-14.704493	84.592087	10.051666	19.545240	0.464121	0.464121	1.436550	0.464121	0.464121	0.513462	0.077540	-1.107044
9580	20.067114	7.597066	20.166563	-8.379180	-3.628982	20.187019	-7.933249	-0.790028	19.347719	-8.230350	3.774865	-16.539375	16.636599	-13.642032	78.640282	12.445232	26.230545	0.464121	0.464121	1.436550	0.464121	0.464121	0.113765	-0.233834	-0.933910
9581	20.147858	6.453148	20.168436	-7.732454	-2.971925	20.187019	-2.080801	-2.088630	20.065540	-6.371465	3.920488	-18.988472	13.826061	-12.540749	70.986389	13.750421	29.438248	0.464121	0.464121	1.436550	0.464121	0.464121	0.335525	-0.186975	1.168395
9582	20.165958	4.617059	20.165625	-5.700830	-3.711170	20.187019	3.630943	-2.897450	20.164623	-4.160156	3.826578	-20.000416	11.730189	-11.013723	64.771950	10.532405	28.109663	0.464121	0.464121	1.436550	0.464121	0.464121	0.247526	-0.544278	-0.584508
9583	20.187019	3.480925	20.160341	-3.422594	-4.749538	20.187019	8.167118	-3.212266	20.109680	-0.822893	3.404312	-20.165478	8.886701	-9.045397	59.323925	2.967541	26.674419	0.464121	0.464121	1.436550	0.464121	0.464121	0.469031	0.208599	-0.576061
9584	20.187019	3.953626	19.657946	-2.195158	-4.992181	20.186394	11.600165	-3.873209	19.737438	2.589965	2.837308	-20.187019	4.346262	-6.863931	51.024517	-6.795731	31.224817	0.464121	0.464121	1.436550	0.464121	0.464121	0.114470	-0.189004	0.118547
9585	20.187019	4.524881	18.115099	-1.950817	-4.916614	20.145277	14.497270	-4.666855	19.663780	6.072466	2.329553	-20.187019	1.100710	-4.863944	38.141415	-15.796830	35.705765	0.464121	0.464121	1.436550	0.464121	0.464121	0.158736	0.033496	0.294979
9586	20.187019	3.891882	16.129520	-1.530587	-5.340082	19.671623	16.960674	-4.872291	20.074537	8.462014	2.264365	-20.187019	0.281713	-2.855265	23.321529	-20.451805	29.848043	0.464121	0.464121	1.436550	0.464121	0.464121	0.202833	-0.233322	-0.232871
9587	20.177660	2.261147	14.490762	-0.534535	-6.641895	17.850542	18.492409	-4.798564	19.532892	9.581356	2.151586	-20.179169	-0.527459	-1.189529	11.281658	-21.664196	17.882765	0.464121	0.464121	1.436550	0.464121	0.464121	0.203524	-0.366329	0.117561
