	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d	G:\My Drive\Adam_G_Thesis\4_Data\Pilot\Raw_data\Raw_EMG_Data\2020.11.16.TAFTPilot\Footswitch_Signals\TAFT_P5_3x4_5_x_30_sec_Rep_3.2_148_1481Hz.c3d
	LEFT FOOT ON	RIGHT FOOT ON	ANALOGTIME	FRAMES	TIME
	EVENT_LABEL	EVENT_LABEL	FRAME_NUMBERS	FRAME_NUMBERS	FRAME_NUMBERS
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X
550			3.70575	550	3.70575
551			3.7125	551	3.7125
552			3.71925	552	3.71925
553			3.726	553	3.726
554			3.73275	554	3.73275
555			3.7395	555	3.7395
556			3.74625	556	3.74625
557			3.753	557	3.753
558			3.75975	558	3.75975
559			3.7665	559	3.7665
560			3.77325	560	3.77325
561			3.78	561	3.78
562			3.78675	562	3.78675
563			3.7935	563	3.7935
564			3.80025	564	3.80025
565			3.807	565	3.807
566			3.81375	566	3.81375
567			3.8205	567	3.8205
568			3.82725	568	3.82725
569			3.834	569	3.834
570			3.84075	570	3.84075
571			3.8475	571	3.8475
572			3.85425	572	3.85425
573			3.861	573	3.861
574			3.86775	574	3.86775
575			3.8745	575	3.8745
576			3.88125	576	3.88125
577			3.888	577	3.888
578			3.89475	578	3.89475
579			3.9015	579	3.9015
580			3.90825	580	3.90825
581			3.915	581	3.915
582			3.92175	582	3.92175
583			3.9285	583	3.9285
584			3.93525	584	3.93525
585			3.942	585	3.942
586			3.94875	586	3.94875
587			3.9555	587	3.9555
588			3.96225	588	3.96225
589			3.969	589	3.969
590			3.97575	590	3.97575
591			3.9825	591	3.9825
592			3.98925	592	3.98925
593			3.996	593	3.996
594			4.00275	594	4.00275
595			4.0095	595	4.0095
596			4.01625	596	4.01625
597			4.023	597	4.023
598			4.02975	598	4.02975
599			4.0365	599	4.0365
600			4.04325	600	4.04325
601			4.05	601	4.05
602			4.05675	602	4.05675
603			4.0635	603	4.0635
604			4.07025	604	4.07025
605			4.077	605	4.077
606			4.08375	606	4.08375
607			4.0905	607	4.0905
608			4.09725	608	4.09725
609			4.104	609	4.104
610			4.11075	610	4.11075
611			4.1175	611	4.1175
612			4.12425	612	4.12425
613			4.131	613	4.131
614			4.13775	614	4.13775
615			4.1445	615	4.1445
616			4.15125	616	4.15125
617			4.158	617	4.158
618			4.16475	618	4.16475
619			4.1715	619	4.1715
620			4.17825	620	4.17825
621			4.185	621	4.185
622			4.19175	622	4.19175
623			4.1985	623	4.1985
624			4.20525	624	4.20525
625			4.212	625	4.212
626			4.21875	626	4.21875
627			4.2255	627	4.2255
628			4.23225	628	4.23225
